"Date","HomeTeam","AwayTeam","FTR","B365H","B365D","B365A"
2014-11-30,"Roma","Inter","H",1.75,3.75,4.75
2014-12-01,"Sampdoria","Napoli","D",3.3,3.4,2.2
2014-12-05,"Fiorentina","Juventus","D",3.8,3.4,2.05
2014-12-06,"Roma","Sassuolo","D",1.33,5.25,9
2014-12-06,"Torino","Palermo","D",1.91,3.3,4.5
2014-12-07,"Atalanta","Cesena","H",1.62,3.6,6.5
2014-12-07,"Genoa","Milan","H",3.1,3.25,2.4
2014-12-07,"Inter","Udinese","A",1.5,4,7.5
2014-12-07,"Napoli","Empoli","D",1.33,5,10
2014-12-07,"Parma","Lazio","A",3.6,3.4,2.1
2014-12-08,"Cagliari","Chievo","A",1.85,3.6,4.33
2014-12-08,"Verona","Sampdoria","A",2.7,3.25,2.7
2014-12-13,"Lazio","Atalanta","H",1.57,3.8,6.5
2014-12-13,"Palermo","Sassuolo","H",2.05,3.5,3.6
2014-12-14,"Cesena","Fiorentina","A",7.5,3.8,1.53
2014-12-14,"Genoa","Roma","A",3.6,3.5,2.05
2014-12-14,"Juventus","Sampdoria","D",1.36,4.75,9
2014-12-14,"Milan","Napoli","H",2.8,3.4,2.5
2014-12-14,"Parma","Cagliari","D",2.25,3.5,3.1
2014-12-14,"Udinese","Verona","A",1.95,3.6,3.8
2014-12-15,"Chievo","Inter","A",4.2,3.4,1.95
2014-12-15,"Empoli","Torino","D",2.4,3.1,3.2
2014-12-18,"Cagliari","Juventus","A",8,4.5,1.4
2014-12-18,"Napoli","Parma","H",1.33,5,9
2014-12-20,"Roma","Milan","D",1.75,3.8,4.75
2014-12-20,"Sassuolo","Cesena","D",1.53,4,7
2014-12-21,"Atalanta","Palermo","D",2.3,3.2,3.3
2014-12-21,"Fiorentina","Empoli","D",1.45,4.2,8
2014-12-21,"Inter","Lazio","D",2.15,3.4,3.5
2014-12-21,"Sampdoria","Udinese","D",1.85,3.5,4.5
2014-12-21,"Torino","Genoa","H",2,3.3,3.8
2014-12-21,"Verona","Chievo","A",2.38,3.2,3.2
2015-01-05,"Lazio","Sampdoria","H",1.85,3.4,4.33
2015-01-06,"Cesena","Napoli","A",9.5,4.75,1.36
2015-01-06,"Chievo","Torino","D",3.1,3.1,2.5
2015-01-06,"Empoli","Verona","D",1.91,3.5,4.2
2015-01-06,"Genoa","Atalanta","D",1.95,3.3,4.33
2015-01-06,"Juventus","Inter","D",1.44,4.33,8
2015-01-06,"Milan","Sassuolo","A",1.62,3.8,6
2015-01-06,"Palermo","Cagliari","H",1.95,3.5,4
2015-01-06,"Parma","Fiorentina","H",4,3.5,1.95
2015-01-06,"Udinese","Roma","A",4.2,3.5,1.91
